player_id,player_name,team,position,season,fantasy_total
3916387,Lamar Jackson,BAL,QB,2024,430.38
4362628,Ja'Marr Chase,CIN,WR,2024,403.0
3918298,Josh Allen,BUF,QB,2024,379.04
3915511,Joe Burrow,CIN,QB,2024,372.82
3052587,Baker Mayfield,TB,QB,2024,365.8
4429795,Jahmyr Gibbs,DET,RB,2024,362.9
4426348,Jayden Daniels,WSH,QB,2024,355.82
3929630,Saquon Barkley,PHI,RB,2024,355.3
4430807,Bijan Robinson,ATL,RB,2024,341.7
3043078,Derrick Henry,BAL,RB,2024,336.4
3046779,Jared Goff,DET,QB,2024,324.46
4262921,Justin Jefferson,MIN,WR,2024,317.48
4426338,Bo Nix,DEN,QB,2024,317.2
4374302,Amon-Ra St. Brown,DET,WR,2024,316.18
4040715,Jalen Hurts,PHI,QB,2024,315.12
3912547,Sam Darnold,SEA,QB,2024,307.96
4429160,De'Von Achane,MIA,RB,2024,299.9
3917315,Kyler Murray,ARI,QB,2024,297.24
4047365,Josh Jacobs,GB,RB,2024,293.1
4038941,Justin Herbert,LAC,QB,2024,285.4
4432773,Brian Thomas Jr.,JAX,WR,2024,284.0
3139477,Patrick Mahomes,KC,QB,2024,283.02
4426502,Drake London,ATL,WR,2024,280.8
4595348,Malik Nabers,NYG,WR,2024,273.6
4430737,Kyren Williams,LAR,RB,2024,272.1
3121422,Terry McLaurin,WSH,WR,2024,267.8
4361741,Brock Purdy,SF,QB,2024,266.86
4379399,James Cook,BUF,RB,2024,266.7
15864,Geno Smith,LV,QB,2024,266.0
3054850,Alvin Kamara,NO,RB,2024,265.3
4241389,CeeDee Lamb,DAL,WR,2024,263.4
4432665,Brock Bowers,LV,TE,2024,262.7
8439,Aaron Rodgers,FA,QB,2024,256.58
4362238,Chase Brown,CIN,RB,2024,255.0
4431611,Caleb Williams,CHI,QB,2024,254.54
3045147,James Conner,ARI,RB,2024,253.8
4430878,Jaxon Smith-Njigba,SEA,WR,2024,253.0
4569618,Garrett Wilson,NYJ,WR,2024,251.9
4361307,Trey McBride,ARI,TE,2024,249.8
4242335,Jonathan Taylor,IND,RB,2024,244.7
4596448,Bucky Irving,TB,RB,2024,244.4
3042519,Aaron Jones,MIN,RB,2024,241.6
4241416,Chuba Hubbard,CAR,RB,2024,241.6
16800,Davante Adams,LAR,WR,2024,241.3
4427366,Breece Hall,NYJ,RB,2024,240.9
4241463,Jerry Jeudy,CLE,WR,2024,240.9
4612826,Ladd McConkey,LAC,WR,2024,240.9
3116385,Joe Mixon,HOU,RB,2024,240.5
16737,Mike Evans,TB,WR,2024,240.4
3128429,Courtland Sutton,DEN,WR,2024,240.3
3915416,DJ Moore,CHI,WR,2024,238.1
3040151,George Kittle,SF,TE,2024,236.6
4036378,Jordan Love,GB,QB,2024,233.86
3054212,Jonnu Smith,MIA,TE,2024,222.3
4239993,Tee Higgins,CIN,WR,2024,222.1
4035538,David Montgomery,DET,RB,2024,221.72
4432577,C.J. Stroud,HOU,QB,2024,220.38
3116406,Tyreek Hill,MIA,WR,2024,218.2
3916433,Jakobi Meyers,LV,WR,2024,218.0
4047646,A.J. Brown,PHI,WR,2024,216.9
12483,Matthew Stafford,LAR,QB,2024,214.58
4259545,D'Andre Swift,CHI,RB,2024,214.5
4429205,Jordan Addison,MIN,WR,2024,212.5
4426388,Jameson Williams,DET,WR,2024,212.2
4258173,Nico Collins,HOU,WR,2024,210.6
3886598,Jauan Jennings,SF,WR,2024,210.5
4429615,Zay Flowers,BAL,WR,2024,209.5
4426515,Puka Nacua,LAR,WR,2024,206.6
4241457,Najee Harris,LAC,RB,2024,204.6
3916148,Tony Pollard,TEN,RB,2024,200.7
4697815,Rachaad White,TB,RB,2024,199.6
4241478,DeVonta Smith,PHI,WR,2024,199.4
3925357,Calvin Ridley,TEN,WR,2024,199.2
4038815,Rico Dowdle,CAR,RB,2024,197.8
4362249,Jayden Reed,GB,WR,2024,197.0
4432708,Marvin Harrison Jr.,ARI,WR,2024,196.5
15847,Travis Kelce,KC,TE,2024,195.4
4685720,Bryce Young,CAR,QB,2024,195.02
4040655,Darnell Mooney,ATL,WR,2024,193.2
4241985,J.K. Dobbins,LAC,RB,2024,191.8
4047650,DK Metcalf,PIT,WR,2024,191.2
3116365,Mark Andrews,BAL,TE,2024,188.8
17372,Chris Boswell,PIT,K,2024,188.0
4683062,Xavier Worthy,KC,WR,2024,187.2
3953687,Brandon Aubrey,DAL,K,2024,187.0
4426385,Zach Charbonnet,SEA,RB,2024,186.9
15818,Keenan Allen,CHI,WR,2024,184.4
4688813,Josh Downs,IND,WR,2024,183.5
4569587,Wan'Dale Robinson,NYG,WR,2024,182.7
4373678,Khalil Shakir,BUF,WR,2024,182.5
4360516,Tyrone Tracy Jr.,NYG,RB,2024,182.3
4241479,Tua Tagovailoa,MIA,QB,2024,181.58
4567048,Kenneth Walker III,SEA,RB,2024,181.2
15835,Zach Ertz,WSH,TE,2024,177.4
4431452,Drake Maye,NE,QB,2024,177.14
14880,Kirk Cousins,ATL,QB,2024,176.32
4362081,Cameron Dicker,LAC,K,2024,176.0
4569173,Rhamondre Stevenson,NE,RB,2024,175.9
2977187,Cooper Kupp,SEA,WR,2024,175.0
4429025,Quentin Johnston,LAC,WR,2024,174.7
4430027,Sam LaPorta,DET,TE,2024,174.6
4360939,Rashod Bateman,BAL,WR,2024,174.6
14881,Russell Wilson,PIT,QB,2024,172.78
4361411,Pat Freiermuth,PIT,TE,2024,168.3
2971573,Ka'imi Fairbairn,HOU,K,2024,166.0
-16007,Broncos D/ST,DEN,DST,2024,166.0
4035687,Michael Pittman Jr.,IND,WR,2024,165.8
4426354,George Pickens,PIT,WR,2024,164.4
4429084,Anthony Richardson,IND,QB,2024,163.36
4572680,Tucker Kraft,GB,TE,2024,163.3
3150744,Chase McLaughlin,TB,K,2024,162.0
3124679,Jason Sanders,MIA,K,2024,162.0
4360078,Alec Pierce,IND,WR,2024,161.4
4241474,Brian Robinson Jr.,WSH,RB,2024,159.8
4689936,Jake Bates,DET,K,2024,158.0
4361579,Javonte Williams,DAL,RB,2024,157.9
2985659,Wil Lutz,DEN,K,2024,157.0
3059915,Kareem Hunt,KC,RB,2024,155.4
3126486,Deebo Samuel Sr.,WSH,WR,2024,153.6
-16016,Vikings D/ST,MIN,DST,2024,152.0
4249417,Jalen Tolbert,DAL,WR,2024,152.0
16757,Derek Carr,NO,QB,2024,150.9
4372016,Jaylen Waddle,MIA,WR,2024,149.6
3123076,David Njoku,CLE,TE,2024,148.5
4427095,DeMario Douglas,NE,WR,2024,147.7
15795,DeAndre Hopkins,BAL,WR,2024,147.0
3046439,Hunter Henry,NE,TE,2024,145.4
4360310,Trevor Lawrence,JAX,QB,2024,145.2
4431299,Rome Odunze,CHI,WR,2024,144.9
3917232,Tyler Bass,BUF,K,2024,142.0
3116164,Mike Gesicki,CIN,TE,2024,141.5
4243331,Cade Otton,TB,TE,2024,140.6
3728262,Ray-Ray McCloud III,ATL,WR,2024,140.5
-16009,Packers D/ST,GB,DST,2024,140.0
4366031,Tank Dell,HOU,WR,2024,140.0
16460,Adam Thielen,CAR,WR,2024,139.5
3051909,Daniel Carlson,LV,K,2024,139.0
-16034,Texans D/ST,HOU,DST,2024,139.0
-16021,Eagles D/ST,PHI,DST,2024,138.0
3116165,Chris Godwin,TB,WR,2024,137.8
4048244,Alexander Mattison,MIA,RB,2024,137.4
2473037,Jason Myers,SEA,K,2024,136.0
3929785,Nick Westbrook-Ikhine,MIA,WR,2024,135.7
4430834,Jalen McMillan,TB,WR,2024,135.4
3917792,Daniel Jones,IND,QB,2024,135.3
15683,Justin Tucker,BAL,K,2024,135.0
-16023,Steelers D/ST,PIT,DST,2024,135.0
4372019,Jerome Ford,CLE,RB,2024,134.0
3050478,Jake Elliott,PHI,K,2024,133.0
4249087,Matt Gay,IND,K,2024,133.0
3068267,Austin Ekeler,WSH,RB,2024,132.3
4361432,Romeo Doubs,GB,WR,2024,132.1
4360248,Kyle Pitts,ATL,TE,2024,131.2
2969939,Jameis Winston,CLE,QB,2024,131.14
4239996,Travis Etienne Jr.,JAX,RB,2024,130.2
4566192,Joshua Karty,LAR,K,2024,130.0
4686472,Marvin Mims Jr.,DEN,WR,2024,129.5
4428718,Tre Tucker,LV,WR,2024,129.3
4429013,Tank Bigsby,JAX,RB,2024,129.0
4038441,Justice Hill,BAL,RB,2024,127.1
4259619,Blake Grupe,NO,K,2024,127.0
3128390,Allen Lazard,NYJ,WR,2024,126.0
2576336,Ameer Abdullah,LV,RB,2024,125.2
4430034,Xavier Legette,CAR,WR,2024,125.1
4567104,Will Reichard,MIN,K,2024,125.0
4360761,Michael Wilson,ARI,WR,2024,124.5
4569987,Jaylen Warren,PIT,RB,2024,124.1
4686361,Cam Little,JAX,K,2024,124.0
4361050,Isaiah Likely,BAL,TE,2024,123.7
3043116,Demarcus Robinson,SF,WR,2024,123.5
3929645,Juwan Johnson,NO,TE,2024,122.8
2976499,Amari Cooper,BUF,WR,2024,122.7
2976212,Stefon Diggs,HOU,WR,2024,121.92
3915486,Tyler Conklin,NYJ,TE,2024,121.9
4429022,Kayshon Boutte,NE,WR,2024,121.9
4363538,Chad Ryland,ARI,K,2024,121.0
-16026,Seahawks D/ST,SEA,DST,2024,121.0
2577327,Tyler Lockett,FA,WR,2024,121.0
-16002,Bills D/ST,BUF,DST,2024,121.0
4372414,Elijah Moore,CLE,WR,2024,120.9
4258595,Cole Kmet,CHI,TE,2024,120.4
4361418,Will Levis,TEN,QB,2024,119.94
4368003,Andrei Iosivas,CIN,WR,2024,119.9
4362887,Justin Fields,NYJ,QB,2024,119.14
4243389,Calvin Austin III,PIT,WR,2024,118.8
3117256,Dalton Schultz,HOU,TE,2024,118.2
-16024,Chargers D/ST,LAC,DST,2024,117.0
2577417,Dak Prescott,DAL,QB,2024,116.52
4429501,Ray Davis,BUF,RB,2024,116.1
4360569,Jordan Mason,MIN,RB,2024,115.0
3124084,Joey Slye,NE,K,2024,114.0
4428557,Tyjae Spears,TEN,RB,2024,113.6
4360635,Chig Okonkwo,TEN,TE,2024,113.6
4240472,Noah Gray,KC,TE,2024,113.3
3917914,Olamide Zaccheaus,CHI,WR,2024,112.4
3821683,Austin Seibert,WSH,K,2024,112.0
4635008,Keon Coleman,BUF,WR,2024,111.5
3049899,Younghoe Koo,ATL,K,2024,111.0
4428850,Dontayvion Wicks,GB,WR,2024,110.5
3127292,Will Dissly,LAC,TE,2024,110.1
3916945,Darius Slayton,NYG,WR,2024,110.0
2972515,Cooper Rush,BAL,QB,2024,109.56
3043275,Austin Hooper,NE,TE,2024,108.6
4372066,Jake Moody,SF,K,2024,108.0
4242433,Joshua Palmer,BUF,WR,2024,107.4
10621,Nick Folk,TEN,K,2024,107.0
4569559,Devaughn Vele,DEN,WR,2024,106.5
4373626,Tyler Allgeier,ATL,RB,2024,106.2
-16033,Ravens D/ST,BAL,DST,2024,106.0
4248528,Christian Watson,GB,WR,2024,105.3
17427,Cairo Santos,CHI,K,2024,105.0
4242355,Jake Ferguson,DAL,TE,2024,104.4
3676833,KaVontae Turpin,DAL,WR,2024,104.2
4036131,Noah Fant,SEA,TE,2024,104.0
3121023,Dallas Goedert,PHI,TE,2024,103.6
4360294,Antonio Gibson,NE,RB,2024,103.4
3843945,Foster Moreau,NO,TE,2024,103.3
4034949,Eddy Pineiro,CAR,K,2024,103.0
4382466,Jalen Nailor,MIN,WR,2024,103.0
2468609,Taysom Hill,NO,TE,2024,102.34
-16014,Rams D/ST,LAR,DST,2024,101.0
4385690,Dalton Kincaid,BUF,TE,2024,100.8
-16008,Lions D/ST,DET,DST,2024,100.0
11252,Joe Flacco,IND,QB,2024,99.04
4360797,Tutu Atwell,LAR,WR,2024,98.9
2991662,Mack Hollins,NE,WR,2024,98.8
16339,Brandon McManus,GB,K,2024,98.0
-16012,Chiefs D/ST,KC,DST,2024,98.0
4722893,Jaleel McLaughlin,DEN,RB,2024,97.2
4432620,Parker Washington,JAX,WR,2024,97.0
4040761,Devin Singletary,NYG,RB,2024,96.6
4038524,Gardner Minshew,KC,QB,2024,96.32
4241464,Mac Jones,SF,QB,2024,96.08
4887558,Emanuel Wilson,GB,RB,2024,96.0
